CustomerID,Recency,Frequency,Monetary,Target
12346.0,295,1,77183.6,0
12347.0,9,171,4085.18,1
12348.0,44,31,1797.24,0
12350.0,279,17,334.40000000000003,0
12352.0,5,85,2506.04,0
12353.0,173,4,89.0,0
12354.0,201,58,1079.4,0
12355.0,183,13,459.40000000000003,0
12356.0,215,57,2753.08,1
12357.0,2,131,6207.67,0
12358.0,120,12,484.86,1
12359.0,27,245,6310.03,0
12360.0,21,129,2662.06,0
12361.0,256,10,189.9,0
12362.0,5,236,4697.1900000000005,1
12363.0,79,23,552.0,0
12364.0,9,58,1002.78,1
12365.0,260,22,641.38,0
12370.0,20,166,3541.94,0
12371.0,14,63,1887.96,0
12372.0,41,52,1298.04,0
12373.0,280,14,364.6,0
12375.0,67,11,230.3,1
12377.0,284,77,1628.1200000000001,0
12378.0,99,219,4008.62,0
12379.0,51,40,852.24,0
12380.0,26,87,1684.42,1
12381.0,2,80,1698.3,1
12383.0,154,99,1850.56,0
12384.0,91,14,292.69,1
12386.0,307,10,401.9,0
12388.0,45,92,2494.26,1
12390.0,49,32,549.84,0
12393.0,41,64,1582.6000000000001,0
12394.0,33,27,1272.48,0
12395.0,0,141,2752.8,1
12397.0,5,126,2409.9,0
12398.0,15,85,1635.6599999999999,0
12399.0,88,59,1108.65,0
12401.0,272,5,84.3,0
12402.0,292,11,225.60000000000002,0
12403.0,19,5,427.7,0
12405.0,118,54,1710.39,0
12406.0,153,49,1621.25,1
12407.0,19,77,1708.12,0
12408.0,2,105,2888.55,0
12409.0,48,109,11072.67,0
12410.0,278,26,693.33,0
12412.0,44,61,1226.88,0
12413.0,36,38,758.1,0
12414.0,186,18,562.4100000000001,0
12415.0,6,687,119559.13,1
12417.0,8,172,3279.37,1
12418.0,82,34,668.58,0
12420.0,33,29,600.39,0
12421.0,84,36,628.5600000000001,1
12422.0,65,39,803.5600000000001,0
12423.0,70,108,1650.67,1
12424.0,132,30,1760.96,0
12425.0,47,36,777.2,0
12426.0,164,30,582.73,0
12427.0,29,25,586.08,1
12428.0,89,279,7548.12,1
12429.0,142,70,2844.88,1
12430.0,12,11,256.4,0
12431.0,5,234,6419.95,0
12432.0,12,108,5059.32,0
12433.0,12,286,7893.89,1
12434.0,54,50,806.14,0
12435.0,49,36,7829.89,0
12436.0,69,16,509.01,0
12437.0,5,172,4294.5,1
12438.0,109,49,890.0699999999999,1
12441.0,336,11,173.55,0
12444.0,28,142,4068.82,1
12446.0,27,57,1002.3100000000001,0
12447.0,212,26,476.49,0
12448.0,13,22,449.45,0
12449.0,61,132,2724.58,1
12450.0,125,8,197.88,0
12451.0,34,295,7847.38,1
12453.0,103,43,707.09,0
12454.0,25,15,3528.34,0
12455.0,42,90,2466.86,0
12456.0,13,125,3181.04,0
12457.0,35,62,2363.23,0
12458.0,40,38,947.4,0
12461.0,63,35,826.88,0
12462.0,272,40,762.11,1
12463.0,22,83,1344.78,0
12464.0,75,21,780.55,1
12465.0,138,26,440.94,1
12468.0,157,38,729.54,0
12471.0,6,346,14855.86,1
12472.0,1,339,6572.11,0
12473.0,23,163,2873.73,1
12474.0,19,358,6197.06,1
12475.0,23,36,723.38,0
12476.0,15,164,4822.43,1
12477.0,25,255,11182.05,1
12480.0,112,114,2144.95,1
12481.0,35,204,5393.02,1
12483.0,10,69,2078.26,1
12484.0,2,343,4527.32,0
12488.0,9,28,767.45,1
12489.0,305,15,334.93,0
12490.0,6,187,4186.03,1
12491.0,8,26,460.40000000000003,0
12492.0,32,20,263.21000000000004,0
12493.0,135,22,433.74,0
12494.0,9,66,1083.6000000000001,1
12497.0,51,14,1043.1,0
12498.0,27,13,247.25000000000003,1
12500.0,19,56,3640.7799999999997,1
12501.0,306,149,2169.39,0
12502.0,65,147,3723.87,0
12506.0,202,23,73.5,0
12507.0,103,21,1304.81,0
12509.0,253,7,176.5,0
12510.0,112,33,982.5699999999999,0
12512.0,35,31,132.18,0
12513.0,82,35,612.29,0
12514.0,236,51,1017.6800000000001,0
12515.0,322,16,383.7,0
12516.0,47,26,1312.06,0
12517.0,43,205,1938.65,1
12518.0,28,76,1230.79,1
12519.0,33,17,330.84000000000003,0
12520.0,48,152,2634.26,0
12521.0,112,38,599.68,0
12522.0,8,12,192.72,0
